               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10793,            0.041036,            0.023761,             0.56396,            0.094237,            0.034767,           0.0075376,            0.090281,            0.034003,             0.01638,            0.070698,           0.0032558,           0.0032558
                   1,            0.080255,            0.039116,            0.015131,             0.69359,              0.2539,             0.18854,            0.059139,            0.075092,            0.026828,            0.013299,            0.040665,           0.0065565,           0.0065565
                   2,            0.072965,            0.034776,             0.01345,             0.80609,             0.27414,             0.28395,            0.075686,            0.066635,            0.022864,            0.012394,            0.010599,           0.0098242,           0.0098242
                   3,            0.066884,            0.030704,            0.012552,             0.42448,             0.53164,             0.38664,             0.14097,            0.062881,            0.022356,            0.010079,           0.0098515,           0.0098515,           0.0098515
                   4,            0.060146,            0.029536,            0.010737,             0.65112,             0.48327,             0.59182,              0.2003,             0.05156,            0.020517,           0.0076646,           0.0098515,           0.0098515,           0.0098515
                   5,            0.054444,            0.028974,           0.0080985,             0.39758,             0.74197,              0.5679,             0.26041,            0.049312,            0.020245,           0.0068821,            0.009802,            0.009802,            0.009802
                   6,            0.049329,            0.027123,           0.0063303,              0.6222,             0.71714,             0.71811,             0.38197,            0.045595,            0.019578,           0.0059443,           0.0097525,           0.0097525,           0.0097525
                   7,            0.046519,            0.026189,           0.0052383,             0.71469,             0.72303,             0.75281,             0.38089,            0.045586,            0.019338,           0.0053708,            0.009703,            0.009703,            0.009703
                   8,            0.045008,            0.025503,            0.004473,             0.82468,             0.77052,             0.81709,             0.40574,            0.038456,            0.018911,           0.0034627,           0.0096535,           0.0096535,           0.0096535
                   9,            0.042388,            0.024373,            0.003936,             0.64011,              0.6497,              0.6795,             0.35451,            0.038142,            0.018504,           0.0048681,            0.009604,            0.009604,            0.009604
                  10,             0.04065,            0.023395,           0.0035178,             0.82168,             0.71409,             0.81886,             0.44332,            0.038725,            0.018456,           0.0049887,           0.0095545,           0.0095545,           0.0095545
                  11,            0.041008,            0.024653,           0.0031899,             0.82471,             0.76664,             0.82275,             0.43663,            0.036297,            0.018409,            0.002971,            0.009505,            0.009505,            0.009505
                  12,            0.039184,            0.024335,           0.0031114,             0.87891,             0.78398,             0.86129,             0.50127,            0.032719,             0.01778,           0.0030177,           0.0094555,           0.0094555,           0.0094555
                  13,            0.038392,            0.024637,           0.0030413,             0.92051,             0.73528,             0.85817,             0.49876,            0.032758,            0.017917,           0.0031255,            0.009406,            0.009406,            0.009406
                  14,            0.037103,            0.023418,           0.0027574,             0.81977,             0.79506,             0.84843,              0.4947,            0.035197,            0.017841,            0.003826,           0.0093565,           0.0093565,           0.0093565
                  15,            0.036709,            0.023788,           0.0028565,             0.82832,              0.7908,             0.84658,             0.52359,            0.036309,            0.017594,           0.0030687,            0.009307,            0.009307,            0.009307
                  16,            0.035293,            0.022995,           0.0025566,             0.86865,             0.78179,             0.84336,              0.5073,            0.031206,            0.017878,           0.0033175,           0.0092575,           0.0092575,           0.0092575
                  17,            0.034965,            0.022092,           0.0028217,             0.86797,             0.77775,             0.85993,              0.5123,            0.032232,            0.018149,            0.003039,            0.009208,            0.009208,            0.009208
                  18,            0.035159,            0.023242,           0.0022642,             0.91009,             0.72933,             0.85705,             0.51391,            0.032108,             0.01768,           0.0031155,           0.0091585,           0.0091585,           0.0091585
                  19,            0.034423,            0.022841,           0.0022528,             0.86314,             0.77272,             0.82872,             0.49791,            0.032534,            0.017888,           0.0040018,            0.009109,            0.009109,            0.009109
                  20,            0.033686,            0.022546,           0.0025148,             0.89503,              0.7792,             0.86357,             0.49105,            0.028273,            0.017639,           0.0028339,           0.0090595,           0.0090595,           0.0090595
                  21,            0.032654,            0.021911,           0.0022369,             0.84994,             0.81872,             0.86881,             0.52332,            0.029989,            0.017547,           0.0025091,             0.00901,             0.00901,             0.00901
                  22,            0.034315,            0.021658,           0.0021555,             0.86374,             0.81574,             0.87115,             0.52081,            0.030162,            0.017779,           0.0034419,           0.0089605,           0.0089605,           0.0089605
                  23,            0.032589,            0.021905,           0.0020267,             0.81822,             0.79517,             0.86437,              0.5374,             0.02999,            0.017272,           0.0034546,            0.008911,            0.008911,            0.008911
                  24,            0.031635,            0.021863,            0.002169,             0.84547,             0.80747,             0.85412,             0.53301,            0.030099,            0.017625,           0.0042187,           0.0088615,           0.0088615,           0.0088615
                  25,            0.031298,            0.021983,            0.002072,             0.83351,              0.8376,             0.87582,             0.53225,            0.028967,             0.01773,            0.002573,            0.008812,            0.008812,            0.008812
                  26,            0.030433,            0.021296,           0.0020376,             0.84224,             0.82013,             0.87662,             0.54899,            0.027241,            0.017405,           0.0028788,           0.0087625,           0.0087625,           0.0087625
                  27,            0.031092,            0.020962,           0.0021771,             0.86753,             0.79135,             0.87723,             0.53941,            0.029181,            0.017305,           0.0035927,            0.008713,            0.008713,            0.008713
                  28,            0.030612,            0.021656,           0.0017804,             0.88242,             0.79337,             0.87982,             0.55134,            0.027466,            0.017071,           0.0033725,           0.0086635,           0.0086635,           0.0086635
                  29,            0.029682,            0.019582,            0.001835,              0.9389,             0.73962,             0.85215,             0.53258,            0.026471,            0.017645,           0.0031035,            0.008614,            0.008614,            0.008614
                  30,            0.030223,             0.02032,           0.0019171,             0.88174,             0.81032,             0.88415,             0.54691,            0.026784,            0.017174,           0.0026093,           0.0085645,           0.0085645,           0.0085645
                  31,            0.029813,            0.020675,           0.0016559,             0.88506,             0.80975,             0.87822,               0.556,            0.026657,            0.017557,           0.0023473,            0.008515,            0.008515,            0.008515
                  32,            0.028936,            0.020549,           0.0017433,             0.90837,             0.83195,             0.88755,             0.56252,            0.026671,             0.01732,           0.0023795,           0.0084655,           0.0084655,           0.0084655
                  33,            0.029659,            0.020465,            0.001801,             0.85752,             0.85335,             0.89113,             0.56299,              0.0275,            0.016657,           0.0025793,            0.008416,            0.008416,            0.008416
                  34,            0.028981,            0.020822,           0.0018901,              0.9024,             0.82595,             0.88551,             0.56064,            0.026347,            0.017001,            0.002442,           0.0083665,           0.0083665,           0.0083665
